Summary,Issue Type,Priority,Epic Link,Original Estimate,Labels,Components,Description,Depends On
Tinglysning S2S XML API Integration,Epic,High,,108h,"s2s,tinglysning,etl,xml-api","Tinglysning,Backend","Implementér Tinglysningsrettens HTTP XML API (S2S/SOAP) integration. HTTP API udgår 2026-09-18. Prod OCES cert verificeret registreret som S2S-aktør. Begge BizzAssist miljøer peger på prod Tinglysning XML API. Se docs/adr/0009-s2s-xml-api-integration.md og docs/jira/BIZZ-9XX-s2s-tickets.md for fuld detalje.",
xmlClient.ts body-implementering,Task,High,Tinglysning S2S XML API Integration,6h,"s2s,etl","Tinglysning,Backend","Implementér body af callEtl() i app/lib/etl/xmlClient.ts. Flow: konstruer URL via proxy, sign body, fetch med headers (X-Proxy-Secret, Content-Type, Tinglysning-Message-ID), parse response/fault, log til audit_log. Coverage krav: dækker success, fault, timeout, manglende env-vars.","xmlSigner.ts XMLDSig,Response parser SOAP fault"
xmlSigner.ts XMLDSig enveloped-signature,Task,High,Tinglysning S2S XML API Integration,8h,"s2s,etl,crypto","Tinglysning,Backend","Implementér signXmlBody() med xml-crypto. RSA-SHA256, exclusive c14n, enveloped-signature transform. Cert loades fra TINGLYSNING_CERT_B64 og caches på modul-niveau. Performance: < 50ms pr signering post-cache. Unit test mod xmlsec1 validator.",
Request builders + types for EjendomSummariskHent + EjendomStamoplysningerHent,Task,High,Tinglysning S2S XML API Integration,4h,"s2s,etl,types","Tinglysning,Backend","Skab typed builders i app/lib/etl/requestBuilder.ts + types.ts for de to MVP-operationer. Validér output XML mod XSD via libxml2. Korrekt namespace-prefixing per XSD (eakt:, eamsg:).",
Response parser + SOAP fault håndtering,Task,High,Tinglysning S2S XML API Integration,4h,"s2s,etl","Tinglysning,Backend","Implementér parseResponse<T>() og parseFault() i app/lib/etl/responseParser.ts. Udvid EtlFejlkode-enum med observerede koder. Test mod recorded fixtures i __tests__/fixtures/etl/.","Request builders types"
API routes /api/etl/ejendom/summarisk + stamoplysninger,Task,High,Tinglysning S2S XML API Integration,3h,"s2s,etl,api","Tinglysning,Backend","Public API routes der wrapper S2S-kald. Per CLAUDE.md API Route Security: resolveTenantId(), aldrig expose raw errors, rate limiting, input validation, try/catch+Sentry. E2E test via Playwright.","xmlClient body,xmlSigner XMLDSig,Request builders,Response parser"
Tests — unit + integration for Fase 1,Task,High,Tinglysning S2S XML API Integration,6h,"s2s,etl,tests","Tinglysning,Backend","Unit tests i __tests__/unit/etl/ + integration-script scripts/test-etl-prod.mjs. Coverage på app/lib/etl/: 80% lines, 60% branches. Alle tests grønne i npm test.","xmlClient body,xmlSigner XMLDSig,Request builders,Response parser"
Audit logging af alle S2S-kald,Task,High,Tinglysning S2S XML API Integration,3h,"s2s,etl,audit,iso-27001","Tinglysning,Backend","Per CLAUDE.md non-negotiable: alle S2S kald (reads + writes) logger til tenant.audit_log. Entry: tenant_id, user_id, operation, request_hash, http_status, duration_ms, fejlkode, message_id. Retention 12 mdr. Ingen PII.","xmlClient body"
Implementér resterende Hent-operationer (Fase 2),Task,Medium,Tinglysning S2S XML API Integration,12h,"s2s,etl","Tinglysning,Backend","Operationer: EjendomAdkomsterHent, ServitutterHent, HaeftelserHent, HistoriskeAdkomster, IndskannetAktHent, SenesteAendring, AendredeTinglysningsobjekter. API routes under /api/etl/ejendom/*. Migrer eksisterende /api/tinglysning/* til S2S som primær.",
Søgnings-operationer (Soeg),Task,Medium,Tinglysning S2S XML API Integration,8h,"s2s,etl,search","Tinglysning,Backend","EjendomSoeg, VirksomhedSoeg, AndelSoeg, BilSoeg. Pagination-håndtering. Caching mod cache_ejendom og cache_virksomhed jf. ADR 0008.","Resterende Hent-operationer"
XSD-til-TypeScript types-generator,Task,Medium,Tinglysning S2S XML API Integration,6h,"s2s,etl,tooling","Tinglysning,Backend","Script scripts/gen-etl-types.mjs der parser XSD og emitter types.generated.ts. CI-check for drift. Documented i app/lib/etl/README.md.",
4 obligatoriske svar-services (callbacks),Task,High,Tinglysning S2S XML API Integration,12h,"s2s,etl,callbacks","Tinglysning,Backend","API routes: /api/etl/svar/{abonnement,brugerformular,fejl,underskriftmappe}. POST modtag signed SOAP, verify Message-ID matching, validate XMLDSig, persist event, ACK 200 OK. IP-whitelist Tinglysning egress på Hetzner-proxy.","Verificering indkommende signatur"
Verificering af indkommende signatur fra Tinglysningsretten,Task,High,Tinglysning S2S XML API Integration,4h,"s2s,etl,security","Tinglysning,Backend","Udvid verifyXmlSignature() stub i xmlSigner.ts. Trust anchor: TINGLYSNING_RESPONSE_TRUST_CERT env-var. Modstandsdygtig mod XML signature wrapping attacks.",
Feature flag ENABLE_S2S_ANMELDER,Task,High,Tinglysning S2S XML API Integration,2h,"s2s,etl,feature-flag","Tinglysning,Backend","Default OFF i alle miljøer. Kun ON i Production efter DBA+ARCHITECT godkendelse. ALDRIG på Preview per ADR 0009. Alle ON/OFF toggles audited.",
AnmeldelseSvar fast ejendom,Task,High,Tinglysning S2S XML API Integration,10h,"s2s,etl,anmelder","Tinglysning,Backend","DokumentAnmeldelseSvar for fast ejendom. Builders+parsers+routes. Multi-step UI flow (separat ticket). Audit fuld request+response+brugerbekræftelse. Test-suite må IKKE køre mod prod uden eksplicit flag.","Søgnings-operationer,Feature flag ENABLE_S2S_ANMELDER"
UI multi-step preview confirm sign submit,Story,High,Tinglysning S2S XML API Integration,12h,"s2s,etl,frontend,anmelder","Tinglysning,Frontend","app/dashboard/anmeldelse/* — 4 trin: preview, confirm (type-out JA OPRET TINGLYSNING), sign, submit + status-poll. WCAG AA: role=dialog, focus-trap, ESC. Steps kan ikke skippes via URL. E2E test.","AnmeldelseSvar fast ejendom"
Udvidet audit-trail tenant.tinglysning_anmeldelse,Task,High,Tinglysning S2S XML API Integration,4h,"s2s,etl,audit,database","Tinglysning,Backend,Database","Migration: tenant.tinglysning_anmeldelse tabel. Schema: bfe_nummer, operation, request_xml, request_hash, message_id, bruger_bekraeftet_kl, status, svar_xml. RLS policy. Retention 10 år (juridisk krav). GDPR-eksport inkluderer denne tabel.","AnmeldelseSvar fast ejendom"
Sæt TINGLYSNING_XML_BASE_URL i Vercel,Task,High,Tinglysning S2S XML API Integration,0.5h,"s2s,etl,config","Tinglysning,DevOps","TINGLYSNING_XML_BASE_URL=https://xml-api.tinglysning.dk i Vercel for BÅDE Production OG Preview. Verificer i deploy-log. Opdater .env.local.example.",
test.bizzassist.dk verifikation mod prod XML API,Task,High,Tinglysning S2S XML API Integration,1h,"s2s,etl,verification","Tinglysning,DevOps","Trigger preview-deploy. Hit /api/etl/ejendom/summarisk fra autentificeret session med reel BFE. Verificer 200 OK med reel prod-data. Tjek audit-log entry.","Sæt TINGLYSNING_XML_BASE_URL,Tests Fase 1"
Guard mod anmelder-flow fra preview,Task,High,Tinglysning S2S XML API Integration,2h,"s2s,etl,security","Tinglysning,Backend,DevOps","Middleware: hvis VERCEL_ENV !== production return 503 fra /api/etl/anmeld/*. Pre-commit hook blokerer ENABLE_S2S_ANMELDER i preview-env. Daily-status cron alerter ved flag-pollution.","Feature flag ENABLE_S2S_ANMELDER"
